Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2011:Q1,TopPt1,7274873,918213,648886,269327,6356660,559842,216274,976823,781230,195594,162670,148269,14402,2791972,106885,34136,67331,155147,1263143,22438,115278,113921,55691,12767,16510,28953,1356,7159595,118671,
2011:Q1,RemainingTop1,11903057,2107136,1819481,287655,9795921,926041,342529,854464,663481,190983,532903,505168,27735,3615765,180325,140364,584531,782974,1779751,56276,520419,516352,347049,65066,20795,83443,4067,11382639,1062183,
2011:Q1,Next9,27802621,6610382,5604922,1005460,21192239,2628151,704792,1209916,907314,302602,251288,194240,57048,4983393,395264,885056,1969314,5747196,2200691,217178,2423300,2415276,2035626,195971,26344,157335,8024,25379321,10638860,
2011:Q1,Next40,24529261,9647836,7716853,1930983,14881425,2173075,387947,575700,415623,160077,74118,43901,30216,1776410,529187,531113,1786897,5419578,1197402,430000,5187967,5177602,4153186,869201,37375,117840,10365,19341294,47286042,
2011:Q1,Bottom50,5250114,3774658,2699820,1074838,1475456,294203,23187,35464,27853,7611,3273,1108,2165,109020,116847,27723,301226,210570,167524,186419,5004340,5001910,3332237,1485305,55213,129155,2429,245775,59117536,
2011:Q2,TopPt1,7375767,941774,647949,293825,6433993,582552,204660,1000159,765152,235008,175653,159537,16116,2793097,109262,31164,69520,143440,1301917,22568,110000,108608,53375,12768,14502,27962,1392,7265767,118994,
2011:Q2,RemainingTop1,11961143,2129130,1836468,292662,9832013,951734,342935,892947,662933,230014,517040,488527,28513,3585037,191438,146499,583299,796048,1768271,56766,515050,510729,345308,62561,16474,86385,4322,11446092,1065584,
2011:Q2,Next9,27959079,6608467,5611694,996773,21350611,2656313,702342,1250444,916261,334183,288710,233672,55038,4959938,401594,892065,1953341,5791942,2236914,217010,2428843,2420659,2036721,199710,23378,160849,8184,25530236,10672008,
2011:Q2,Next40,24641292,9576334,7637514,1938820,15064957,2225211,377811,611482,415222,196260,83832,53736,30096,1791727,527463,536355,1821162,5465411,1190398,434105,5195368,5184994,4161584,878325,31972,113113,10374,19445923,47432038,
2011:Q2,Bottom50,5213051,3732432,2645438,1086994,1480619,303659,22757,36880,27533,9347,3897,1168,2729,107173,117292,27952,299298,212601,162694,186416,4946859,4944407,3263679,1499712,53795,127222,2451,266192,59302383,
