Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2015:Q1,Next9,35320526,7726162,6782404,943758,27594363,3041854,724543,1224861,987655,237206,437806,395786,42020,7304432,469400,1224905,2422405,7460294,3047444,236419,2484390,2474584,1992218,257761,24721,199883,9807,32836135,11206428,
2015:Q1,Next40,29808410,11345097,9334082,2011015,18463313,2720136,359015,531807,435129,96678,97020,76597,20424,2584822,550587,629905,2656718,6479618,1333747,519938,5693330,5681791,4434645,1125067,38338,83742,11539,24115080,49797842,
2015:Q1,Bottom50,5385875,3715972,2582737,1133235,1669903,402040,19329,31674,26173,5501,3683,1045,2638,153929,125885,27409,339204,240807,121663,204280,4522152,4519363,2452426,1851946,92273,122718,2789,863723,62267914,
2015:Q2,TopPt1,10761551,1299889,840974,458916,9461661,860613,138325,616102,517248,98854,212567,193315,19252,4776627,117158,8532,152414,59791,2494874,24657,87646,86112,41429,15862,9807,19014,1534,10673905,124606,
2015:Q2,RemainingTop1,15877880,2862283,2519878,342405,13015597,1488255,316950,776044,657576,118468,382382,361530,20852,5557455,270127,136854,748930,756851,2513684,68066,578621,572679,394214,61601,20180,96683,5942,15299259,1122527,
2015:Q2,Next9,35647119,7881029,6939427,941602,27766090,3064806,717025,1192480,993139,199342,431778,389625,42152,7308978,472490,1246608,2435387,7559916,3098924,237698,2496043,2485963,1991366,266420,25304,202873,10080,33151076,11230395,
2015:Q2,Next40,30012727,11555884,9510709,2045174,18456844,2718152,361835,513597,440699,72898,92172,72751,19421,2574960,558313,631729,2623079,6497579,1362752,522674,5783625,5771772,4480456,1161746,42529,87041,11853,24229102,49906524,
2015:Q2,Bottom50,5415142,3752549,2605560,1146989,1662594,402706,18771,30683,26405,4278,3302,1077,2225,151638,126872,26969,335587,237922,123210,204932,4524471,4521609,2430185,1872123,92996,126304,2862,890671,62399852,
2015:Q3,TopPt1,10496648,1309834,855879,453954,9186814,864530,151016,689112,591332,97780,209969,191610,18359,4356550,114523,11205,152154,64510,2548452,24793,89727,88252,43044,16597,10068,18544,1475,10406920,124896,
2015:Q3,RemainingTop1,15643776,2909600,2565918,343682,12734176,1523447,324303,859836,742043,117793,371590,352150,19439,5151156,265291,125080,724214,723166,2597079,69014,591682,585985,402609,65806,24449,93121,5697,15052094,1124854,
2015:Q3,Next9,35283120,7976267,7024111,952155,27306853,3080653,744552,1331218,1130456,200762,426462,384637,41825,6700683,472275,1224753,2333561,7641409,3110440,240848,2499382,2489357,1993418,274104,25229,196607,10026,32783738,11253260,
2015:Q3,Next40,30012881,11816410,9751298,2065111,18196471,2707945,380647,573951,501789,72162,87432,69132,18300,2393972,563355,624116,2455062,6501382,1378704,529907,5869423,5857437,4529186,1198329,46050,83873,11987,24143457,50010319,
2015:Q3,Bottom50,5429263,3806072,2657280,1148792,1623191,401973,19322,32495,28220,4275,2940,1119,1821,130747,127259,26667,315154,234369,124669,207596,4533519,4530652,2408610,1908269,91848,121924,2868,895743,62525667,
2015:Q4,TopPt1,10695542,1319174,863544,455630,9376368,894734,156401,628654,589663,38991,208363,190782,17581,4547599,113842,11531,159847,69011,2561371,25014,90628,89195,45082,15545,10392,18177,1433,10604914,125181,
2015:Q4,RemainingTop1,15947768,2950776,2607076,343700,12996992,1588567,323409,802770,753100,49670,360136,341939,18196,5379919,264034,115069,746787,692811,2653379,70111,603657,598134,408552,67394,32364,89824,5523,15344110,1127078,
2015:Q4,Next9,35821864,8051623,7095721,955902,27770241,3152296,757004,1244211,1148520,95690,423519,381862,41658,6944553,477693,1276977,2415139,7752790,3081408,244650,2498932,2488904,2006959,262904,26867,192174,10028,33322932,11275227,
2015:Q4,Next40,30419096,12029642,9945481,2084160,18389454,2764688,392824,539306,512877,26429,83359,66024,17335,2451410,572983,632340,2505008,6527608,1381218,538710,5912760,5900608,4588167,1176159,54287,81995,12152,24506336,50110051,
2015:Q4,Bottom50,5466060,3819716,2668484,1151232,1646345,412546,19385,30337,28639,1698,2638,1177,1461,135904,128662,26111,321956,231848,125994,210963,4481969,4479085,2388537,1878221,93196,119131,2885,984091,62646546,
2016:Q1,TopPt1,10845329,1348663,876066,472597,9496667,928552,150673,646446,609572,36874,220985,203936,17049,4622528,113292,12658,166019,73594,2536850,25068,91634,90131,46346,15261,10567,17957,1503,10753696,125462,
2016:Q1,RemainingTop1,16166227,2997388,2655567,341822,13168838,1657712,310838,832492,785136,47356,336717,319457,17259,5486893,263004,104305,760736,661335,2683893,70913,618618,612812,417834,69806,38254,86918,5806,15547608,1129221,
2016:Q1,Next9,36280332,8152327,7201658,950669,28128005,3231724,747551,1293773,1201033,92740,458225,416167,42058,7026709,483496,1304531,2463407,7856147,3015272,247171,2482467,2472069,1996039,259273,26387,190371,10398,33797865,11296507,
2016:Q1,Next40,30735995,12195348,10084053,2111295,18540647,2830699,395048,563444,538526,24919,90112,73439,16673,2463840,582930,635190,2516372,6547410,1371165,544435,5951267,5938748,4618957,1179061,58758,81971,12519,24784728,50206545,
2016:Q1,Bottom50,5466983,3804907,2644047,1160860,1662075,424671,18750,31032,29408,1624,2642,1487,1155,136180,130134,25629,323926,229020,127137,212954,4454842,4451864,2354513,1888823,89912,118615,2979,1012140,62763677,
2016:Q2,TopPt1,11136308,1398536,898202,500334,9737772,925720,136466,653647,630571,23076,226043,209421,16622,4770829,114037,13232,172456,79433,2620656,25253,93873,92333,47778,15745,10738,18071,1540,11042435,125741,
2016:Q2,RemainingTop1,16522456,3075993,2737626,338366,13446464,1684305,289504,848723,818418,30305,318983,302524,16458,5670111,264346,93872,776448,643501,2784727,71945,636599,630648,428421,73998,43264,84965,5952,15885857,1131300,
2016:Q2,Next9,36915303,8351673,7414262,937410,28563630,3233088,720981,1317682,1255752,61930,472782,430129,42654,7211486,493043,1349694,2518480,7935785,3059914,250696,2490862,2480204,1994155,266692,24818,194539,10658,34424441,11317306,
2016:Q2,Next40,31134028,12455881,10314349,2141532,18678147,2803669,389195,580350,565199,15152,91047,74906,16140,2505432,595931,641725,2536325,6584279,1397624,552571,6041460,6028634,4669207,1211863,61437,86128,12826,25092568,50300626,
2016:Q2,Bottom50,5473139,3805657,2631575,1174081,1667482,421061,17588,31205,30180,1025,2543,1666,877,139552,132282,25080,326966,226454,128727,216024,4459054,4456004,2339749,1908524,84484,123248,3049,1014085,62878246,
2016:Q3,TopPt1,11346117,1395108,910583,484525,9951009,954972,129043,614297,606287,8010,222981,206897,16084,4930522,113825,13679,180314,85263,2680794,25319,96581,95169,49592,16441,10924,18212,1411,11249536,126017,33960825
2016:Q3,RemainingTop1,16843885,3114115,2772928,341187,13729770,1747865,275210,817486,806675,10811,308163,292601,15562,5864925,263922,83436,800372,626083,2869541,72768,652529,647103,436870,77973,49151,83109,5426,16191356,1133335,8721304
2016:Q3,Next9,37426164,8419836,7464023,955813,29006328,3302977,707766,1259356,1236162,23194,465402,422589,42813,7412399,499855,1399099,2605104,8019885,3081172,253312,2509782,2499404,2002964,274236,23095,199108,10378,34916382,11337832,1549211
2016:Q3,Next40,31650702,12752013,10594403,2157610,18898689,2858298,389473,565160,560102,5058,85493,70008,15485,2551870,606716,649084,2593420,6624388,1416266,558522,6145067,6132231,4729449,1247538,64700,90544,12836,25505635,50393119,123885
2016:Q3,Bottom50,5622636,3932754,2760698,1172056,1689881,431239,16848,30608,30248,359,2307,1703,603,143402,133937,24509,334656,224027,130233,218117,4482181,4479173,2327212,1945431,78323,128207,3008,1140454,62991441,
2016:Q4,TopPt1,11302558,1400942,928961,471981,9901616,957075,117014,565669,565669,0,224650,208829,15821,4934506,116134,13629,174430,82061,2690649,25798,98537,97237,49448,17062,10006,20720,1300,11204021,126293,
2016:Q4,RemainingTop1,16936371,3153051,2812656,340395,13783320,1729611,277242,772883,772883,0,326837,311356,15481,5986299,268916,83536,790305,632132,2841901,73659,654646,649675,444310,76460,45092,83812,4971,16281725,1135342,
2016:Q4,Next9,37691524,8559285,7581833,977452,29132239,3372359,698799,1190396,1190396,0,425601,383286,42315,7500994,496406,1377938,2652000,8056323,3102819,258603,2519959,2510030,2028106,278932,21914,181078,9929,35171566,11358258,
2016:Q4,Next40,31986065,12985473,10817932,2167541,19000592,2933679,385361,543461,543461,0,80096,63847,16249,2560237,602480,646184,2605196,6666026,1412154,565717,6197128,6184547,4752748,1276567,64764,90468,12581,25788937,50484716,
2016:Q4,Bottom50,5655137,3940852,2761493,1179360,1714284,441717,15945,29307,29307,0,2146,1508,637,141218,133557,25608,340510,226238,134937,223103,4510221,4507305,2317438,1987414,81521,120932,2916,1144916,63104246,
2017:Q1,TopPt1,11596361,1421949,950375,471575,10174412,973338,101588,553488,553488,0,238477,223064,15413,5195758,120699,11601,172496,78693,2702397,25876,100647,99206,49475,16532,9152,24045,1441,11495714,126567,
2017:Q1,RemainingTop1,17378745,3196741,2858342,338398,14182005,1727588,275582,768260,768260,0,333449,318187,15262,6380991,278046,85213,803527,640425,2815080,73845,655481,649938,450147,72527,40348,86917,5543,16723264,1137327,
2017:Q1,Next9,38646423,8721715,7727658,994057,29924708,3472342,682578,1192473,1192473,0,419045,377652,41393,7950371,499398,1417940,2791760,8111452,3126524,260824,2533861,2523554,2056795,268835,20378,177547,10307,36112561,11378615,
2017:Q1,Next40,32587945,13185309,10998301,2187008,19402636,3045437,377758,547437,547437,0,84245,67322,16924,2668146,603473,656319,2723788,6721940,1408579,565513,6217145,6204362,4776683,1263640,63563,100475,12784,26370800,50575590,
2017:Q1,Bottom50,5746648,3978307,2784143,1194164,1768340,458334,14828,28882,28882,0,2203,1541,662,149763,134343,26495,359880,229121,139702,224788,4526365,4523368,2304479,2008884,83906,126099,2997,1220282,63216839,
2017:Q2,TopPt1,11872342,1436923,975101,461822,10435419,943352,90668,561205,561205,0,243514,228276,15239,5317455,124169,10169,168717,75352,2874725,26094,103524,102029,49579,16889,8187,27373,1495,11768818,126840,
2017:Q2,RemainingTop1,17751980,3242330,2905498,336832,14509650,1672024,278854,784998,784998,0,348038,332722,15316,6632482,285160,86415,806987,648143,2892276,74273,663048,657291,456387,70460,40410,90033,5758,17088932,1139291,
2017:Q2,Next9,39443754,8892597,7880875,1011721,30551157,3473537,676021,1230451,1230451,0,390427,349188,41239,8207656,499199,1439496,2896170,8161814,3312272,264114,2564907,2554510,2089128,270268,21048,174067,10397,36878847,11398902,
2017:Q2,Next40,33048971,13398701,11203831,2194870,19650270,3039653,374795,567211,567211,0,82086,64073,18013,2721378,601858,662529,2800588,6774195,1458123,567854,6283721,6270895,4808453,1283032,68913,110497,12826,26765250,50665779,
2017:Q2,Bottom50,5868038,4074652,2873828,1200824,1793386,455102,13994,28819,28819,0,2133,1417,716,152464,134552,27448,374112,231838,145303,227620,4565014,4561996,2299325,2042082,89293,131296,3018,1303024,63329196,
2017:Q3,TopPt1,12025775,1444444,996878,447566,10581330,931934,93510,529877,529877,0,248057,233465,14591,5458612,128534,8688,165481,71998,2917744,26896,106322,104807,49676,17249,7402,30481,1515,11919453,127111,
2017:Q3,RemainingTop1,18063517,3287123,2951566,335557,14776394,1637872,298074,759773,759773,0,361486,346612,14874,6907539,293914,87656,814468,655852,2884032,75728,666102,660266,463523,68099,36276,92369,5836,17397415,1141236,
2017:Q3,Next9,40147345,9044207,8013586,1030621,31103139,3514703,699842,1197876,1197876,0,361407,321790,39617,8494289,501533,1462557,3019142,8212096,3367799,271895,2589182,2578806,2122763,270740,19738,165565,10376,37558163,11419115,
2017:Q3,Next40,33568082,13641925,11443715,2198210,19926157,3081386,386417,555904,555904,0,79585,61021,18564,2781633,602292,669067,2898120,6826383,1464410,580960,6345982,6333174,4845843,1301974,68103,117253,12808,27222100,50755323,
2017:Q3,Bottom50,5979146,4144330,2940131,1204200,1834816,459891,14011,28049,28049,0,2025,1299,727,155974,135221,28398,391064,234555,150349,235279,4619368,4616352,2301250,2091140,91627,132335,3016,1359778,63441293,
2017:Q4,TopPt1,12365665,1446192,1012493,433699,10919472,933668,99445,523459,523459,0,242053,227957,14096,5737237,132973,6997,162573,68617,2985293,27158,109766,108243,49698,17923,6556,34065,1523,12255899,127379,
2017:Q4,RemainingTop1,18582037,3320864,2984842,336022,15261173,1618803,321299,761521,761521,0,382677,368055,14622,7329455,302797,89068,824811,663795,2890712,76235,673739,667873,470827,66469,34185,96392,5866,17908299,1143167,
2017:Q4,Next9,41120146,9173049,8112084,1060965,31947098,3584417,730104,1210800,1210800,0,307125,268610,38514,8974099,504034,1492160,3156331,8264318,3448165,275544,2626896,2616579,2153570,275795,19376,167838,10317,38493250,11439251,
2017:Q4,Next40,34181584,13861587,11642391,2219196,20319997,3157026,400990,564691,564691,0,69828,50381,19448,2893515,602852,677014,3011403,6880052,1478507,584119,6426399,6413631,4879553,1332949,70159,130971,12768,27755185,50844263,
2017:Q4,Bottom50,6098635,4212479,2994724,1217755,1886156,470397,14185,27732,27732,0,1764,1005,759,165319,135920,29327,410112,237345,155562,238494,4679067,4676061,2300857,2137615,95327,142262,3006,1419568,63553105,
2018:Q1,TopPt1,12370795,1470817,1039906,430911,10899979,957478,85465,530549,530549,0,246409,232891,13518,5658772,136670,6742,154368,65300,3030770,27457,111958,110195,49763,17380,5678,37374,1763,12258838,127643,
2018:Q1,RemainingTop1,18721897,3386910,3051992,334918,15334987,1624936,322434,778497,778497,0,394695,380394,14301,7380886,310324,89320,803984,670557,2882548,76807,676997,670158,475460,62454,32817,99426,6839,18044900,1145083,
2018:Q1,Next9,41550123,9394808,8311291,1083517,32155315,3701957,718719,1250236,1250236,0,280435,243257,37178,8960044,504373,1476999,3169904,8306658,3506506,279484,2639799,2628785,2180532,265138,19361,163755,11014,38910324,11459308,
2018:Q1,Next40,34624408,14158934,11914810,2244125,20465474,3289572,395776,585415,585415,0,68027,47683,20344,2869781,601643,675363,2980579,6926177,1485188,587955,6443775,6430631,4898430,1318309,73311,140581,13144,28180634,50932638,
2018:Q1,Bottom50,6199495,4286815,3051405,1235409,1912680,490496,13162,27635,27635,0,1686,898,789,159473,136228,30410,411045,239785,160739,242021,4688672,4685518,2282353,2156603,99617,146945,3153,1510823,63664609,
2018:Q2,TopPt1,12499701,1481779,1057980,423799,11017922,929885,83730,552028,552028,0,252844,239983,12861,5709622,141202,5807,148610,61919,3104674,27601,114258,112495,50058,17572,4524,40342,1764,12385442,127905,
2018:Q2,RemainingTop1,18974525,3422808,3088646,334162,15551717,1572085,337994,811600,811600,0,404601,390681,13920,7570758,319379,90120,798464,678099,2891512,77105,682993,676153,480725,59916,34441,101070,6840,18291532,1146990,
2018:Q2,Next9,42160438,9542726,8435161,1107565,32617712,3709140,733560,1318875,1318875,0,259855,224229,35626,9127985,507069,1482955,3246976,8355467,3593591,282239,2664323,2653392,2217721,264287,20839,150546,10931,39496115,11479283,
2018:Q2,Next40,34962852,14316496,12051295,2265200,20646357,3290752,402978,619407,619407,0,67979,46710,21268,2894949,602343,678238,3022689,6977257,1500843,588922,6507091,6494001,4936535,1331365,81546,144554,13091,28455761,51020488,
2018:Q2,Bottom50,6311486,4379286,3129112,1250174,1932200,488432,12855,27682,27682,0,1648,832,816,159095,136964,31423,421274,242460,166096,244272,4720197,4717059,2281020,2185054,106705,144280,3138,1591289,63775780,
2018:Q3,TopPt1,12782715,1486548,1071388,415160,11296167,893443,74488,586756,586756,0,260190,248022,12168,5948000,146016,4849,144811,58463,3151202,27948,117595,115738,50348,18106,3794,43490,1857,12665120,128162,
2018:Q3,RemainingTop1,19410892,3452255,3119290,332965,15958638,1509143,345264,858895,858895,0,413506,399974,13532,7959359,328954,90936,805646,686612,2882560,77762,686404,679186,486866,57701,31305,103315,7218,18724488,1148887,
2018:Q3,Next9,43036923,9660970,8532230,1128740,33375953,3697221,732933,1414843,1414843,0,242333,208329,34004,9558223,510543,1489546,3378030,8412340,3653378,286565,2694777,2683629,2256297,266378,19951,141003,11148,40342146,11499172,
2018:Q3,Next40,35442514,14498271,12218455,2279816,20944242,3269259,402864,665880,665880,0,68864,46544,22320,2990202,603666,681249,3126631,7034513,1507468,593646,6581452,6568250,4980179,1355345,81783,150944,13202,28861061,51107852,
2018:Q3,Bottom50,6404028,4438579,3177543,1261036,1965448,482551,12104,27698,27698,0,1634,786,848,166728,137841,32434,439425,245426,171396,248211,4780714,4777528,2286360,2237049,109451,144668,3186,1623314,63886593,
2018:Q4,TopPt1,11789520,1472781,1074907,397874,10316739,899875,96749,614682,614682,0,259530,248080,11450,4930831,146484,7120,126057,55287,3151675,28448,119602,117845,50430,18739,2326,46350,1758,11669918,128414,
2018:Q4,RemainingTop1,18466627,3462628,3128528,334100,15003999,1495211,389577,898518,898518,0,426749,413591,13158,7039484,330584,89131,720942,690576,2844541,78688,693899,687088,492879,55749,34433,104026,6811,17772728,1150779,
2018:Q4,Next9,41672648,9722519,8559507,1163012,31950129,3778301,797196,1499640,1499640,0,207039,174678,32362,8248767,501524,1395249,3132086,8431084,3667174,292068,2709809,2699071,2286198,270400,22243,120229,10737,38962839,11518974,
2018:Q4,Next40,35081877,14688056,12386161,2301895,20393821,3358305,433036,707581,707581,0,64643,41075,23568,2615186,594820,662566,2794574,7062683,1499251,601176,6650045,6637076,5009669,1383488,93125,150794,12969,28431832,51194771,
2018:Q4,Bottom50,6419623,4512140,3237417,1274723,1907482,495294,13106,27434,27434,0,1506,618,888,120609,136460,33787,402272,247037,176562,253415,4816733,4813630,2280502,2278665,118199,136264,3103,1602890,63997025,
2019:Q1,TopPt1,12875191,1512091,1095185,416906,11363100,913876,111520,643558,643558,0,265831,255076,10755,5834405,152711,3962,127739,51536,3229491,28471,122103,120195,50320,18125,2233,49518,1908,12753088,128661,
2019:Q1,RemainingTop1,19782714,3529116,3199425,329691,16253598,1489799,425102,938811,938811,0,435462,422584,12877,8130810,342757,91731,763312,703305,2853731,78779,690645,683224,498676,51787,26844,105917,7420,19092070,1152667,
2019:Q1,Next9,44026193,9953621,8784570,1169052,34072572,3876123,843989,1588221,1588221,0,189137,158237,30900,9607678,508989,1470433,3412145,8523095,3758829,293932,2704934,2693794,2307874,259724,19034,107162,11140,41321259,11538684,
2019:Q1,Next40,36233518,14924473,12591665,2332808,21309045,3467279,454676,751222,751222,0,65738,40530,25208,2959650,599375,680317,3068463,7146819,1515557,599949,6647705,6634524,5025489,1368572,84959,155503,13181,29585814,51281284,
2019:Q1,Bottom50,6521042,4508026,3208552,1299474,2013016,511386,13618,26957,26957,0,1515,566,949,156609,138059,34568,442220,251262,182116,254705,4813645,4810457,2263811,2296273,116238,134135,3188,1707397,64107052,
2019:Q2,TopPt1,13178997,1524493,1109343,415150,11654504,877143,93471,682733,682733,0,276011,266040,9971,5987939,156874,1999,123089,48085,3378514,28646,124516,122657,50144,18361,1288,52863,1859,13054481,128903,
2019:Q2,RemainingTop1,20203396,3568032,3240767,327266,16635364,1426627,424573,988867,988867,0,441885,429317,12568,8440206,351165,93366,767253,716974,2905308,79140,699980,692763,508478,49610,25974,108701,7217,19503416,1154554,
2019:Q2,Next9,44916786,10104214,8920022,1184192,34812572,3864167,828280,1698414,1698414,0,180601,151343,29258,9927132,510512,1508349,3535657,8540473,3922009,296977,2727302,2716410,2335087,261291,19280,100753,10891,42189485,11558301,
2019:Q2,Next40,36736388,15072797,12724728,2348069,21663590,3445676,447630,804795,804795,0,69809,42713,27095,3022567,599089,690077,3161517,7266873,1554014,601542,6718806,6705769,5063399,1389153,89069,164148,13037,30017582,51367431,
2019:Q2,Bottom50,6622542,4576693,3264773,1311920,2045849,505478,12361,26179,26179,0,1596,576,1020,160567,138585,35478,459248,261102,187991,257264,4869092,4865953,2273856,2333706,121127,137264,3139,1753450,64216648,
2019:Q3,TopPt1,13101872,1497969,1112140,385829,11603903,857456,132632,668680,668680,0,289480,280392,9088,5879648,161152,622,115708,44624,3425174,28727,127944,125989,50196,18739,885,56169,1955,12973928,129139,38574605
2019:Q3,RemainingTop1,20257613,3560698,3230895,329804,16696915,1382882,487464,986340,986340,0,446612,434373,12239,8481425,359797,94526,754685,730144,2893702,79336,704060,696453,516405,47253,21662,111134,7606,19553553,1156443,10477312
2019:Q3,Next9,45197694,10146953,8921527,1225426,35050742,3889335,918687,1708788,1708788,0,179671,152240,27432,9887353,512341,1527903,3592222,8552257,3982881,299306,2749944,2738828,2367408,262330,17655,91435,11116,42447750,11577821,1776366
2019:Q3,Next40,37063618,15211191,12847513,2363678,21852427,3468245,488647,813829,813829,0,76476,47150,29326,2988586,599047,695891,3176493,7383864,1559953,601396,6784460,6771309,5103792,1410213,86088,171216,13151,30279158,51453252,160862
2019:Q3,Bottom50,6818795,4751715,3431729,1319986,2067079,507008,14058,25609,25609,0,1743,639,1103,153183,139166,36451,466426,270856,193528,259050,4929973,4926785,2281460,2385623,121511,138191,3188,1888822,64325791,
2019:Q4,TopPt1,13768566,1517371,1133952,383419,12251196,917350,169055,654618,654618,0,284678,272956,11722,6417017,165637,6105,119068,64501,3423467,29699,131973,129997,50876,21193,1739,56189,1976,13636594,129368,
2019:Q4,RemainingTop1,20774271,3564442,3233925,330517,17209829,1440527,498699,946585,946585,0,427826,416232,11595,8877625,357874,103644,808391,749223,2919509,79926,708508,701075,504266,52354,28169,116286,7432,20065764,1158335,
2019:Q4,Next9,46248722,10251060,9005909,1245151,35997662,4001278,959827,1661703,1661703,0,186059,159825,26233,10646940,519358,1512620,3765515,8463488,3976995,303880,2784171,2773026,2381681,282539,19334,89472,11144,43464552,11597249,
2019:Q4,Next40,38200810,15463698,13078643,2385055,22737112,3629634,514736,798842,798842,0,80802,52682,28119,3233391,602907,729770,3344611,7594491,1590574,617353,6856766,6843612,5151820,1438056,84913,168823,13154,31344044,51538813,
2019:Q4,Bottom50,6938266,4762283,3435082,1327201,2175982,534455,15538,26218,26218,0,1811,838,973,187008,140471,38173,484799,290973,190910,265628,4962683,4959494,2297037,2398049,120043,144365,3189,1975583,64434495,
2020:Q1,TopPt1,12329903,1548916,1165631,383285,10780987,980379,279217,654316,650608,3708,321245,307187,14058,4684848,168451,16492,100269,85250,3460577,29944,133765,131524,51441,21988,1806,56289,2242,12196138,129591,
2020:Q1,RemainingTop1,18885173,3594247,3263958,330290,15290926,1501504,581653,924116,919031,5085,392713,381655,11058,6905831,352880,108785,718425,756822,2968954,79242,717192,708938,491222,54920,40878,121919,8254,18167981,1160237,
2020:Q1,Next9,43669265,10466236,9206815,1259421,33203029,4119136,1120884,1640833,1635623,5209,280891,255627,25264,8247187,521585,1343960,3338963,8276588,4010110,302891,2800848,2788876,2389669,283465,24171,91571,11971,40868417,11616617,
2020:Q1,Next40,37858820,15786770,13385270,2401500,22072050,3798841,594298,794455,792611,1844,111606,84484,27121,2624376,602866,730630,2829023,7732490,1633494,619972,6873915,6860323,5187140,1409595,94859,168729,13593,30984905,51624284,
2020:Q1,Bottom50,6940024,4844147,3512113,1332033,2095878,563249,20632,26789,26647,142,2497,1633,864,122956,140910,40405,415998,307783,188428,266231,4961092,4957735,2300804,2377872,125473,153587,3357,1978932,64542940,
2020:Q2,TopPt1,13804356,1575677,1196134,379544,12228678,1109704,337201,594514,566672,27842,317841,301784,16057,5946469,175978,18731,111892,105551,3480005,30794,136647,134462,52285,22935,3095,56147,2185,13667708,129806,
2020:Q2,RemainingTop1,20342802,3618557,3290054,328503,16724245,1636948,611601,851646,812053,39593,377762,367234,10528,8085650,356486,120588,823504,772532,3007913,79615,711923,704158,476900,57808,43411,126039,7765,19630879,1162154,
2020:Q2,Next9,46244364,10681120,9417093,1264027,35563245,4378084,1193939,1489075,1449205,39870,287513,263257,24256,10025311,537320,1430738,3732272,8156741,4025725,306526,2809971,2798222,2406204,287081,23935,81002,11749,43434393,11635964,
2020:Q2,Next40,39786404,16154242,13755897,2398344,23632162,4138115,634698,726594,710379,16216,115810,89697,26113,3143333,613807,786627,3246114,7922385,1670962,633715,6881658,6868199,5232440,1386837,87398,161524,13459,32904746,51709863,
2020:Q2,Bottom50,7225533,4927868,3602681,1325186,2297666,620791,23131,27637,26567,1069,2574,1815,760,186601,143790,41795,466604,327043,185888,271812,4928981,4925675,2309266,2342730,120424,153254,3306,2296553,64651342,
2020:Q3,TopPt1,14657665,1628665,1234418,394246,13029001,1152389,308824,570370,570370,0,304975,287073,17902,6612821,183259,22602,115828,126100,3599749,32084,141775,139596,53676,24976,4287,56657,2178,14515890,130015,
2020:Q3,RemainingTop1,21048394,3659354,3327159,332195,17389040,1674625,562445,796820,796820,0,367349,357236,10113,8643724,359636,131086,878469,786156,3107971,80760,710974,703493,462850,62139,44773,133732,7481,20337420,1164091,
2020:Q3,Next9,47645856,10964703,9662365,1302339,36681153,4450595,1134081,1441228,1441228,0,273495,249978,23518,10973211,552364,1466674,3916415,8017813,4141743,313533,2882249,2870558,2445172,301777,23289,100320,11691,44763607,11655330,
2020:Q3,Next40,41083651,16574095,14101963,2472132,24509556,4254536,616003,710830,710830,0,113691,88349,25341,3437206,624183,831747,3425907,8099416,1740459,655579,6979353,6965939,5315351,1399915,79334,171338,13415,34104298,51795745,
2020:Q3,Bottom50,7470618,5067293,3702291,1365002,2403325,640739,21484,26734,26734,0,2517,1841,675,224602,146546,43360,486928,345765,183624,281027,4994667,4991377,2347383,2353899,114756,175340,3290,2475951,64759920,
2020:Q4,TopPt1,16247842,1688667,1281950,406718,14559175,1254202,295819,587806,587806,0,312928,293436,19493,7893791,192547,26806,124829,146131,3691654,32661,147787,145679,55551,27479,5052,57597,2109,16100055,130216,
2020:Q4,RemainingTop1,22571139,3715631,3380113,335519,18855508,1778618,528223,796931,796931,0,349782,340082,9701,9847837,366448,141340,966535,807662,3191474,80658,710060,703120,443413,66788,50206,142712,6940,21861080,1166056,
2020:Q4,Next9,50389725,11301239,9963658,1337580,39088486,4648291,1097286,1462515,1462515,0,303345,280600,22746,12782184,573170,1492460,4239105,7944948,4230085,315098,2974784,2963357,2491998,319636,24669,127055,11427,47414941,11674753,
2020:Q4,Next40,43090469,17078083,14539837,2538245,26012386,4522340,606746,724999,724999,0,124741,100185,24557,3965139,639243,874758,3762045,8326580,1801402,664394,7089694,7076436,5392948,1419320,78171,185998,13258,36000775,51882128,
2020:Q4,Bottom50,7799524,5218789,3818665,1400124,2580735,686302,20579,27041,27041,0,2763,2168,594,289025,150345,44964,527267,366816,181238,284396,5039933,5036703,2368288,2351631,113590,203194,3230,2759590,64868891,
2021:Q1,TopPt1,17184899,1772328,1342828,429500,15412570,1376675,324735,479687,479687,0,314166,292727,21439,8576932,196092,33594,126453,166705,3784433,33098,152707,150368,57174,28890,5906,58398,2338,17032192,130410,
2021:Q1,RemainingTop1,23385878,3813845,3477755,336090,19572033,1905564,533888,667082,667082,0,336224,326600,9624,10431912,362764,149505,1005824,823095,3275864,80312,706496,698885,425223,69828,53151,150683,7611,22679382,1168052,
2021:Q1,Next9,51910854,11766042,10408500,1357542,40144812,4888465,1128371,1221895,1221895,0,317983,295122,22861,13759529,577547,1437319,4359699,7818932,4319483,315589,3039236,3027101,2531546,325631,24964,144959,12136,48871618,11694273,
2021:Q1,Next40,44656246,17715132,15119132,2596000,26941114,4842534,628209,612003,612003,0,131514,106989,24526,4267621,640938,900354,3868691,8515689,1862909,670651,7152264,7138632,5462811,1406037,74006,195778,13632,37503982,51969209,
